Model,Order,Seasonal_Order,Trend,Fit_Stage,Date,Observed_CO2,Fitted_CO2,Residual,Absolute_Residual
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1959-04,317.72,290.67065795493954,27.049342045060484,27.049342045060484
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1959-05,318.29,317.63613790584486,0.6538620941551585,0.6538620941551585
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1959-06,318.15,317.9671010686926,0.18289893130736345,0.18289893130736345
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1959-07,316.54,316.71034034907507,-0.17034034907504747,0.17034034907504747
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1959-08,314.8,315.6120308843408,-0.8120308843407997,0.8120308843407997
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1959-09,313.84,313.1810671070888,0.6589328929111957,0.6589328929111957
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1959-10,313.33,313.00116529561507,0.32883470438491713,0.32883470438491713
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1959-11,314.81,314.18906909803286,0.6209309019671423,0.6209309019671423
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1959-12,315.58,316.0653115383639,-0.4853115383639306,0.4853115383639306
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-01,316.43,316.52728531480517,-0.09728531480516267,0.09728531480516267
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-02,316.98,317.37096651480056,-0.3909665148005388,0.3909665148005388
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-03,317.58,317.269137082921,0.3108629170789641,0.3108629170789641
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-04,319.03,318.6955363016792,0.3344636983207465,0.3344636983207465
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-05,320.03,319.3345326005353,0.6954673994646896,0.6954673994646896
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-06,319.58,319.62227319297347,-0.04227319297348231,0.04227319297348231
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-07,318.18,317.96520080759,0.21479919240999834,0.21479919240999834
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-08,315.9,316.6073458222587,-0.7073458222587305,0.7073458222587305
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-09,314.17,314.93884613777027,-0.7688461377702538,0.7688461377702538
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-10,313.83,313.949336001147,-0.11933600114701903,0.11933600114701903
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-11,315.0,315.2719013399322,-0.27190133993218524,0.27190133993218524
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1960-12,316.19,316.0739114631631,0.11608853683691223,0.11608853683691223
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-01,316.89,317.0247690497013,-0.1347690497013332,0.1347690497013332
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-02,317.7,317.61448832594135,0.0855116740586368,0.0855116740586368
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-03,318.54,318.2001185156329,0.3398814843671403,0.3398814843671403
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-04,319.48,319.7499422666589,-0.2699422666588589,0.2699422666588589
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-05,320.58,320.20668475002464,0.3733152499753487,0.3733152499753487
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-06,319.77,320.1918914744293,-0.42189147442934427,0.42189147442934427
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-07,318.56,318.3810535259343,0.17894647406569675,0.17894647406569675
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-08,316.79,316.691746495494,0.0982535045060331,0.0982535045060331
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-09,314.99,315.3244831049352,-0.3344831049352024,0.3344831049352024
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-10,315.31,314.63715566501577,0.6728443349842337,0.6728443349842337
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-11,316.1,316.36103822435183,-0.26103822435180746,0.26103822435180746
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1961-12,317.01,317.19677568439835,-0.18677568439835568,0.18677568439835568
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-01,317.94,317.87710075275834,0.06289924724165985,0.06289924724165985
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-02,318.55,318.6753049845912,-0.125304984591196,0.125304984591196
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-03,319.68,319.24454371726557,0.43545628273443526,0.43545628273443526
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-04,320.57,320.7397084859377,-0.16970848593769006,0.16970848593769006
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-05,321.02,321.3907515752413,-0.37075157524134283,0.37075157524134283
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-06,320.62,320.72937982163967,-0.10937982163966353,0.10937982163966353
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-07,319.61,319.27078060359327,0.33921939640674736,0.33921939640674736
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-08,317.4,317.6920672736734,-0.29206727367341045,0.29206727367341045
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-09,316.24,315.95115705434927,0.2888429456507424,0.2888429456507424
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-10,315.42,315.92839809910504,-0.5083980991050225,0.5083980991050225
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-11,316.69,316.7096927629304,-0.019692762930390018,0.019692762930390018
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1962-12,317.7,317.74370301886995,-0.04370301886996231,0.04370301886996231
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-01,318.74,318.558887392069,0.18111260793102701,0.18111260793102701
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-02,319.07,319.38496445239224,-0.31496445239224613,0.31496445239224613
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-03,319.86,319.96178970219853,-0.10178970219851635,0.10178970219851635
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-04,321.38,321.03709460762616,0.34290539237383655,0.34290539237383655
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-05,322.24,321.9805113148406,0.25948868515939694,0.25948868515939694
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-06,321.49,321.7008039577495,-0.21080395774947647,0.21080395774947647
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-07,319.74,320.22091252395467,-0.48091252395465744,0.48091252395465744
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-08,317.77,318.021892964867,-0.25189296486701096,0.25189296486701096
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-09,316.21,316.460757218395,-0.25075721839499465,0.25075721839499465
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-10,315.99,315.96420959164453,0.025790408355476302,0.025790408355476302
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-11,317.07,317.1681107784818,-0.09811077848178229,0.09811077848178229
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1963-12,318.35,318.1223649013462,0.22763509865382048,0.22763509865382048
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-01,319.57,319.16096571388886,0.4090342861111367,0.4090342861111367
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-02,320.04,320.0226451744719,0.01735482552811618,0.01735482552811618
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-03,320.75,320.79211312657304,-0.04211312657304234,0.04211312657304234
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-04,321.84,321.9645127098866,-0.12451270988663055,0.12451270988663055
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-05,322.25,322.62937379759893,-0.3793737975989302,0.3793737975989302
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-06,321.89,321.91096182877476,-0.02096182877477304,0.02096182877477304
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-07,320.44,320.52365403228595,-0.08365403228594914,0.08365403228594914
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-08,318.69,318.5624866202919,0.12751337970809118,0.12751337970809118
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-09,316.71,317.1885191267572,-0.4785191267572486,0.4785191267572486
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-10,316.87,316.54153426675333,0.3284657332466736,0.3284657332466736
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-11,317.68,317.9347708559139,-0.2547708559138755,0.2547708559138755
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1964-12,318.71,318.8254011239551,-0.1154011239551096,0.1154011239551096
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-01,319.44,319.7247479692834,-0.2847479692833872,0.2847479692833872
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-02,320.44,320.145918848756,0.29408115124397227,0.29408115124397227
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-03,320.89,321.1364716466453,-0.2464716466453183,0.2464716466453183
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-04,322.14,322.14902580755114,-0.00902580755115423,0.00902580755115423
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-05,322.17,322.84401055283666,-0.6740105528366485,0.6740105528366485
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-06,321.87,321.9572046575447,-0.08720465754470297,0.08720465754470297
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-07,321.21,320.5445566559326,0.6654433440673984,0.6654433440673984
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-08,318.87,319.1011212591318,-0.2311212591317826,0.2311212591317826
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-09,317.82,317.3511361981301,0.46886380186987253,0.46886380186987253
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-10,317.3,317.41277528258746,-0.11277528258744951,0.11277528258744951
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-11,318.87,318.394638952183,0.47536104781698896,0.47536104781698896
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1965-12,319.42,319.7628393438847,-0.34283934388469106,0.34283934388469106
