Model,Order,Seasonal_Order,Trend,Fit_Stage,Date,Observed_CO2,Fitted_CO2,Residual,Absolute_Residual
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1959-05,318.29,262.3901399139098,55.8998600860902,55.8998600860902
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1959-06,318.15,318.31628609198,-0.16628609197999822,0.16628609197999822
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1959-07,316.54,316.97519058152557,-0.43519058152554635,0.43519058152554635
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1959-08,314.8,315.4392345240026,-0.6392345240025747,0.6392345240025747
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1959-09,313.84,312.4315514123932,1.408448587606756,1.408448587606756
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1959-10,313.33,313.4600992643854,-0.13009926438542152,0.13009926438542152
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1959-11,314.81,314.577293639984,0.23270636001598177,0.23270636001598177
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1959-12,315.58,316.6425135844145,-1.0625135844144893,1.0625135844144893
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1960-01,316.43,316.1784281044056,0.2515718955943953,0.2515718955943953
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1960-02,316.98,317.1580967535854,-0.17809675358540744,0.17809675358540744
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1960-03,317.58,316.90167883014374,0.6783211698562468,0.6783211698562468
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1960-04,319.03,319.0640231991751,-0.034023199175123864,0.034023199175123864
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1960-05,320.03,319.9094405047866,0.12055949521339926,0.12055949521339926
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1960-06,319.58,320.2569232989,-0.6769232989000216,0.6769232989000216
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1960-07,318.18,318.41502432132535,-0.23502432132534068,0.23502432132534068
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1960-08,315.9,316.62609130817236,-0.7260913081723857,0.7260913081723857
