Model,Model_Key,Fit_Stage,Year,Observed_CO2,Fitted_CO2,Residual,Absolute_Residual
Exponential,exponential,full_data,1959,315.98,309.8386869760351,6.141313023964926,6.141313023964926
Exponential,exponential,full_data,1960,316.91,311.2335238455075,5.676476154492548,5.676476154492548
Exponential,exponential,full_data,1961,317.64,312.634640014416,5.005359985583993,5.005359985583993
Exponential,exponential,full_data,1962,318.45,314.0420637510137,4.407936248986289,4.407936248986289
Exponential,exponential,full_data,1963,318.99,315.45582345081186,3.534176549188146,3.534176549188146
Exponential,exponential,full_data,1964,319.62,316.8759476371534,2.7440523628466167,2.7440523628466167
Exponential,exponential,full_data,1965,320.04,318.3024649617878,1.7375350382122292,1.7375350382122292
Exponential,exponential,full_data,1966,321.37,319.73540420544975,1.6345957945502505,1.6345957945502505
Exponential,exponential,full_data,1967,322.18,321.1747942784392,1.0052057215607988,1.0052057215607988
Exponential,exponential,full_data,1968,323.05,322.6206642212054,0.42933577879460927,0.42933577879460927
Exponential,exponential,full_data,1969,324.62,324.0730432049318,0.5469567950681835,0.5469567950681835
Exponential,exponential,full_data,1970,325.68,325.53196053212577,0.14803946787424138,0.14803946787424138
Exponential,exponential,full_data,1971,326.32,326.99744563720867,-0.6774456372086775,0.6774456372086775
Exponential,exponential,full_data,1972,327.46,328.4695280871106,-1.0095280871105956,1.0095280871105956
Exponential,exponential,full_data,1973,329.68,329.9482375818663,-0.26823758186628766,0.26823758186628766
Exponential,exponential,full_data,1974,330.19,331.43360395521466,-1.2436039552146667,1.2436039552146667
Exponential,exponential,full_data,1975,331.13,332.9256571752007,-1.795657175200688,1.795657175200688
Exponential,exponential,full_data,1976,332.03,334.42442734478,-2.394427344780013,2.394427344780013
Exponential,exponential,full_data,1977,333.84,335.929944702426,-2.08994470242601,2.08994470242601
Exponential,exponential,full_data,1978,335.41,337.44223962274043,-2.0322396227404056,2.0322396227404056
Exponential,exponential,full_data,1979,336.84,338.9613426170658,-2.1213426170658067,2.1213426170658067
Exponential,exponential,full_data,1980,338.76,340.48728433410093,-1.7272843341009434,1.7272843341009434
Exponential,exponential,full_data,1981,340.12,342.02009556051974,-1.9000955605197305,1.9000955605197305
Exponential,exponential,full_data,1982,341.48,343.5598072215919,-2.0798072215918637,2.0798072215918637
Exponential,exponential,full_data,1983,343.15,345.10645038180695,-1.9564503818069738,1.9564503818069738
Exponential,exponential,full_data,1984,344.87,346.66005624550115,-1.7900562455011482,1.7900562455011482
Exponential,exponential,full_data,1985,346.35,348.2206561574869,-1.8706561574869056,1.8706561574869056
Exponential,exponential,full_data,1986,347.61,349.7882816036853,-2.1782816036852637,2.1782816036852637
Exponential,exponential,full_data,1987,349.31,351.3629642117611,-2.0529642117610933,2.0529642117610933
Exponential,exponential,full_data,1988,351.69,352.94473575176113,-1.2547357517611317,1.2547357517611317
Exponential,exponential,full_data,1989,353.2,354.533628136755,-1.33362813675501,1.33362813675501
Exponential,exponential,full_data,1990,354.45,356.12967342347935,-1.6796734234793576,1.6796734234793576
Exponential,exponential,full_data,1991,355.7,357.7329038129841,-2.0329038129841024,2.0329038129841024
Exponential,exponential,full_data,1992,356.54,359.34335165128243,-2.803351651282412,2.803351651282412
Exponential,exponential,full_data,1993,357.21,360.9610494300035,-3.7510494300035475,3.7510494300035475
Exponential,exponential,full_data,1994,358.96,362.58602978704766,-3.6260297870476847,3.6260297870476847
Exponential,exponential,full_data,1995,360.97,364.21832550724514,-3.248325507245113,3.248325507245113
Exponential,exponential,full_data,1996,362.74,365.8579695230174,-3.1179695230173934,3.1179695230173934
Exponential,exponential,full_data,1997,363.88,367.5049949150417,-3.624994915041725,3.624994915041725
Exponential,exponential,full_data,1998,366.84,369.1594349129184,-2.319434912918439,2.319434912918439
Exponential,exponential,full_data,1999,368.54,370.82132289584143,-2.281322895841413,2.281322895841413
Exponential,exponential,full_data,2000,369.71,372.49069239327173,-2.7806923932717496,2.7806923932717496
Exponential,exponential,full_data,2001,371.32,374.1675770856136,-2.8475770856135796,2.8475770856135796
Exponential,exponential,full_data,2002,373.45,375.8520108048945,-2.4020108048945303,2.4020108048945303
Exponential,exponential,full_data,2003,375.98,377.54402753544747,-1.564027535447451,1.564027535447451
Exponential,exponential,full_data,2004,377.7,379.2436614145965,-1.5436614145964995,1.5436614145964995
Exponential,exponential,full_data,2005,379.98,380.9509467333459,-0.9709467333458974,0.9709467333458974
Exponential,exponential,full_data,2006,382.09,382.6659179370716,-0.5759179370716083,0.5759179370716083
Exponential,exponential,full_data,2007,384.02,384.38860962621624,-0.36860962621625504,0.36860962621625504
Exponential,exponential,full_data,2008,385.83,386.1190565569875,-0.2890565569875321,0.2890565569875321
Exponential,exponential,full_data,2009,387.64,387.85729364205895,-0.21729364205896218,0.21729364205896218
Exponential,exponential,full_data,2010,390.1,389.6033559512745,0.49664404872549994,0.49664404872549994
Exponential,exponential,full_data,2011,391.85,391.35727871235645,0.49272128764357603,0.49272128764357603
Exponential,exponential,full_data,2012,394.06,393.11909731161546,0.9409026883845399,0.9409026883845399
Exponential,exponential,full_data,2013,396.74,394.888847294665,1.8511527053349823,1.8511527053349823
Exponential,exponential,full_data,2014,398.81,396.66656436713845,2.1434356328615536,2.1434356328615536
Exponential,exponential,full_data,2015,401.01,398.45228439540915,2.5577156045908396,2.5577156045908396
