Model,Model_Key,Fit_Stage,Year,Observed_CO2,Fitted_CO2,Residual,Absolute_Residual
Quartic,quartic,full_data,1959,315.98,316.22588737237106,-0.24588737237104397,0.24588737237104397
Quartic,quartic,full_data,1960,316.91,316.7570292940627,0.15297070593732087,0.15297070593732087
Quartic,quartic,full_data,1961,317.64,317.3626180033455,0.2773819966544693,0.2773819966544693
Quartic,quartic,full_data,1962,318.45,318.03856132867173,0.4114386713282556,0.4114386713282556
Quartic,quartic,full_data,1963,318.99,318.7809142045418,0.20908579545823613,0.20908579545823613
Quartic,quartic,full_data,1964,319.62,319.5858786715042,0.034121328495814396,0.034121328495814396
Quartic,quartic,full_data,1965,320.04,320.4498038761559,-0.4098038761558769,0.4098038761558769
Quartic,quartic,full_data,1966,321.37,321.36918607114177,0.000813928858235613,0.000813928858235613
Quartic,quartic,full_data,1967,322.18,322.340668615155,-0.16066861515497521,0.16066861515497521
Quartic,quartic,full_data,1968,323.05,323.36104197293685,-0.31104197293683455,0.31104197293683455
Quartic,quartic,full_data,1969,324.62,324.4272437152769,0.1927562847230888,0.1927562847230888
Quartic,quartic,full_data,1970,325.68,325.5363585190128,0.14364148098718488,0.14364148098718488
Quartic,quartic,full_data,1971,326.32,326.6856181670305,-0.36561816703050454,0.36561816703050454
Quartic,quartic,full_data,1972,327.46,327.87240154826395,-0.412401548263972,0.412401548263972
Quartic,quartic,full_data,1973,329.68,329.0942346576955,0.5857653423045122,0.5857653423045122
Quartic,quartic,full_data,1974,330.19,330.34879059635546,-0.158790596355459,0.158790596355459
Quartic,quartic,full_data,1975,331.13,331.6338895713224,-0.5038895713224179,0.5038895713224179
Quartic,quartic,full_data,1976,332.03,332.94749889572324,-0.9174988957232699,0.9174988957232699
Quartic,quartic,full_data,1977,333.84,334.28773298873284,-0.4477329887328665,0.4477329887328665
Quartic,quartic,full_data,1978,335.41,335.65285337557435,-0.2428533755743274,0.2428533755743274
Quartic,quartic,full_data,1979,336.84,337.0412686875191,-0.20126868751913207,0.20126868751913207
Quartic,quartic,full_data,1980,338.76,338.4515346618866,0.30846533811336485,0.30846533811336485
Quartic,quartic,full_data,1981,340.12,339.88235414204456,0.23764585795544235,0.23764585795544235
Quartic,quartic,full_data,1982,341.48,341.33257707740876,0.14742292259126089,0.14742292259126089
Quartic,quartic,full_data,1983,343.15,342.8012005234433,0.3487994765566782,0.3487994765566782
Quartic,quartic,full_data,1984,344.87,344.28736864166035,0.5826313583396541,0.5826313583396541
Quartic,quartic,full_data,1985,346.35,345.7903726996204,0.5596273003796455,0.5596273003796455
Quartic,quartic,full_data,1986,347.61,347.309651070932,0.30034892906803634,0.30034892906803634
Quartic,quartic,full_data,1987,349.31,348.8447892352518,0.46521076474817846,0.46521076474817846
Quartic,quartic,full_data,1988,351.69,350.395519778285,1.2944802217149913,1.2944802217149913
Quartic,quartic,full_data,1989,353.2,351.9617223917845,1.2382776082154692,1.2382776082154692
Quartic,quartic,full_data,1990,354.45,353.5434238735518,0.9065761264482148,0.9065761264482148
Quartic,quartic,full_data,1991,355.7,355.14079812743614,0.5592018725638468,0.5592018725638468
Quartic,quartic,full_data,1992,356.54,356.7541661633354,-0.21416616333539196,0.21416616333539196
Quartic,quartic,full_data,1993,357.21,358.3839960971954,-1.1739960971954133,1.1739960971954133
Quartic,quartic,full_data,1994,358.96,360.0309031510101,-1.0709031510101,1.0709031510101
Quartic,quartic,full_data,1995,360.97,361.69564965282177,-0.725649652821744,0.725649652821744
Quartic,quartic,full_data,1996,362.74,363.3791450367208,-0.6391450367207767,0.6391450367207767
Quartic,quartic,full_data,1997,363.88,365.0824458428457,-1.202445842845691,1.202445842845691
Quartic,quartic,full_data,1998,366.84,366.80675571738334,0.0332442826166357,0.0332442826166357
Quartic,quartic,full_data,1999,368.54,368.5534254125685,-0.013425412568494721,0.013425412568494721
Quartic,quartic,full_data,2000,369.71,370.3239527866845,-0.6139527866845356,0.6139527866845356
Quartic,quartic,full_data,2001,371.32,372.1199828040625,-0.7999828040624948,0.7999828040624948
Quartic,quartic,full_data,2002,373.45,373.943307535082,-0.4933075350820104,0.4933075350820104
Quartic,quartic,full_data,2003,375.98,375.7958661561707,0.18413384382932918,0.18413384382932918
Quartic,quartic,full_data,2004,377.7,377.67974494980433,0.020255050195657986,0.020255050195657986
Quartic,quartic,full_data,2005,379.98,379.5971773045071,0.38282269549290504,0.38282269549290504
Quartic,quartic,full_data,2006,382.09,381.5505437148511,0.5394562851489013,0.5394562851489013
Quartic,quartic,full_data,2007,384.02,383.54237178145667,0.47762821854331605,0.47762821854331605
Quartic,quartic,full_data,2008,385.83,385.5753362109924,0.2546637890075658,0.2546637890075658
Quartic,quartic,full_data,2009,387.64,387.65225881617516,-0.012258816175176435,0.012258816175176435
Quartic,quartic,full_data,2010,390.1,389.7761085157697,0.3238914842303302,0.3238914842303302
Quartic,quartic,full_data,2011,391.85,391.9500013345893,-0.1000013345892512,0.1000013345892512
Quartic,quartic,full_data,2012,394.06,394.177200403495,-0.11720040349501915,0.11720040349501915
Quartic,quartic,full_data,2013,396.74,396.4611159593966,0.27888404060342964,0.27888404060342964
Quartic,quartic,full_data,2014,398.81,398.80530534525144,0.0046946547485617884,0.0046946547485617884
Quartic,quartic,full_data,2015,401.01,401.2134730100655,-0.20347301006552243,0.20347301006552243
Quartic,quartic,full_data,2016,404.41,403.6894705088929,0.7205294911071292,0.7205294911071292
Quartic,quartic,full_data,2017,406.76,406.2372965028356,0.5227034971644002,0.5227034971644002
Quartic,quartic,full_data,2018,408.72,408.8610967590441,-0.1410967590440464,0.1410967590440464
Quartic,quartic,full_data,2019,411.66,411.5651641507169,0.09483584928312894,0.09483584928312894
Quartic,quartic,full_data,2020,414.24,414.3539386571008,-0.11393865710078899,0.11393865710078899
Quartic,quartic,full_data,2021,416.45,417.2320073634907,-0.7820073634907203,0.7820073634907203
Quartic,quartic,training_data,1959,315.98,316.5569380999668,-0.5769380999668101,0.5769380999668101
Quartic,quartic,training_data,1960,316.91,316.9476433959949,-0.03764339599484856,0.03764339599484856
Quartic,quartic,training_data,1961,317.64,317.439424672659,0.20057532734097094,0.20057532734097094
Quartic,quartic,training_data,1962,318.45,318.02556801725177,0.42443198274821725,0.42443198274821725
Quartic,quartic,training_data,1963,318.99,318.69961799698564,0.290382003014372,0.290382003014372
Quartic,quartic,training_data,1964,319.62,319.45537765899286,0.16462234100714568,0.16462234100714568
Quartic,quartic,training_data,1965,320.04,320.2869085303257,-0.24690853032569748,0.24690853032569748
Quartic,quartic,training_data,1966,321.37,321.1885306179563,0.18146938204370144,0.18146938204370144
Quartic,quartic,training_data,1967,322.18,322.15482240877674,0.02517759122326879,0.02517759122326879
Quartic,quartic,training_data,1968,323.05,323.180620869599,-0.13062086959899943,0.13062086959899943
Quartic,quartic,training_data,1969,324.62,324.2610214471549,0.3589785528450875,0.3589785528450875
Quartic,quartic,training_data,1970,325.68,325.3913780680963,0.28862193190371954,0.28862193190371954
Quartic,quartic,training_data,1971,326.32,326.56730313899476,-0.2473031389947664,0.2473031389947664
Quartic,quartic,training_data,1972,327.46,327.784667546342,-0.32466754634202744,0.32466754634202744
Quartic,quartic,training_data,1973,329.68,329.0396006565495,0.6403993434504969,0.6403993434504969
Quartic,quartic,training_data,1974,330.19,330.32849031594867,-0.13849031594867256,0.13849031594867256
Quartic,quartic,training_data,1975,331.13,331.6479828507908,-0.5179828507908155,0.5179828507908155
Quartic,quartic,training_data,1976,332.03,332.9949830672472,-0.9649830672472035,0.9649830672472035
Quartic,quartic,training_data,1977,333.84,334.36665425140893,-0.5266542514089565,0.5266542514089565
Quartic,quartic,training_data,1978,335.41,335.76041816928716,-0.3504181692871384,0.3504181692871384
Quartic,quartic,training_data,1979,336.84,337.1739550668127,-0.33395506681273446,0.33395506681273446
Quartic,quartic,training_data,1980,338.76,338.60520366983656,0.1547963301634354,0.1547963301634354
Quartic,quartic,training_data,1981,340.12,340.0523611841294,0.06763881587062315,0.06763881587062315
Quartic,quartic,training_data,1982,341.48,341.513883295382,-0.033883295381997414,0.033883295381997414
Quartic,quartic,training_data,1983,343.15,342.9884841692049,0.16151583079505372,0.16151583079505372
Quartic,quartic,training_data,1984,344.87,344.47513645112866,0.3948635488713421,0.3948635488713421
Quartic,quartic,training_data,1985,346.35,345.9730712666036,0.37692873339642574,0.37692873339642574
Quartic,quartic,training_data,1986,347.61,347.4817782210002,0.1282217789998299,0.1282217789998299
Quartic,quartic,training_data,1987,349.31,349.0010053996085,0.3089946003914861,0.3089946003914861
Quartic,quartic,training_data,1988,351.69,350.5307593676388,1.159240632361218,1.159240632361218
Quartic,quartic,training_data,1989,353.2,352.071305170221,1.128694829778965,1.128694829778965
Quartic,quartic,training_data,1990,354.45,353.6231663324052,0.8268336675947694,0.8268336675947694
Quartic,quartic,training_data,1991,355.7,355.18712485916126,0.5128751408387302,0.5128751408387302
Quartic,quartic,training_data,1992,356.54,356.76422123537884,-0.22422123537882044,0.22422123537882044
Quartic,quartic,training_data,1993,357.21,358.35575442586764,-1.1457544258676648,1.1457544258676648
Quartic,quartic,training_data,1994,358.96,359.9632818753574,-1.003281875357402,1.003281875357402
Quartic,quartic,training_data,1995,360.97,361.58861950849746,-0.6186195084974315,0.6186195084974315
Quartic,quartic,training_data,1996,362.74,363.2338417298573,-0.49384172985730856,0.49384172985730856
Quartic,quartic,training_data,1997,363.88,364.90128142392626,-1.0212814239262684,1.0212814239262684
Quartic,quartic,training_data,1998,366.84,366.5935299551135,0.24647004488645052,0.24647004488645052
Quartic,quartic,training_data,1999,368.54,368.31343716774825,0.22656283225177276,0.22656283225177276
Quartic,quartic,training_data,2000,369.71,370.0641113860795,-0.3541113860795235,0.3541113860795235
Quartic,quartic,training_data,2001,371.32,371.84891941427617,-0.5289194142761744,0.5289194142761744
Quartic,quartic,training_data,2002,373.45,373.67148653642715,-0.22148653642716454,0.22148653642716454
Quartic,quartic,training_data,2003,375.98,375.53569651654124,0.444303483458782,0.444303483458782
Quartic,quartic,training_data,2004,377.7,377.4456915985471,0.2543084014528745,0.2543084014528745
Quartic,quartic,training_data,2005,379.98,379.40587250629335,0.5741274937066692,0.5741274937066692
Quartic,quartic,training_data,2006,382.09,381.4208984435484,0.669101556451551,0.669101556451551
Quartic,quartic,training_data,2007,384.02,383.4956870940008,0.5243129059991816,0.5243129059991816
Quartic,quartic,training_data,2008,385.83,385.6354146212587,0.19458537874129433,0.19458537874129433
Quartic,quartic,training_data,2009,387.64,387.84551566885045,-0.20551566885046668,0.20551566885046668
Quartic,quartic,training_data,2010,390.1,390.1316833602241,-0.03168336022406493,0.03168336022406493
Quartic,quartic,training_data,2011,391.85,392.49986929874774,-0.649869298747717,0.649869298747717
