Model,Model_Source,Year,Forecast_CO2_ppm
Quadratic,annual_full_data,2022,418.02715393719666
Quadratic,annual_full_data,2023,420.48863635075963
Quadratic,annual_full_data,2024,422.9761940355612
Quadratic,annual_full_data,2025,425.48982699160126
Quadratic,annual_full_data,2026,428.0295352188799
Quadratic,annual_full_data,2027,430.59531871739705
Quadratic,annual_full_data,2028,433.1871774871528
Quadratic,annual_full_data,2029,435.80511152814705
Quadratic,annual_full_data,2030,438.44912084037986
Quadratic,annual_full_data,2031,441.1192054238512
Quadratic,annual_full_data,2032,443.8153652785611
Quadratic,annual_full_data,2033,446.5376004045096
Quadratic,annual_full_data,2034,449.28591080169656
Quadratic,annual_full_data,2035,452.06029647012207
Quadratic,annual_full_data,2036,454.8607574097861
Quadratic,annual_full_data,2037,457.68729362068876
Quadratic,annual_full_data,2038,460.53990510282995
Quadratic,annual_full_data,2039,463.4185918562096
Quadratic,annual_full_data,2040,466.3233538808279
Quadratic,annual_full_data,2041,469.2541911766847
Quadratic,annual_full_data,2042,472.21110374378003
Quadratic,annual_full_data,2043,475.19409158211386
Quadratic,annual_full_data,2044,478.20315469168634
Quadratic,annual_full_data,2045,481.2382930724973
Quadratic,annual_full_data,2046,484.2995067245468
Quadratic,annual_full_data,2047,487.3867956478349
Quadratic,annual_full_data,2048,490.5001598423615
Quadratic,annual_full_data,2049,493.63959930812666
Quadratic,annual_full_data,2050,496.8051140451303
Quadratic,annual_full_data,2051,499.9967040533726
Quadratic,annual_full_data,2052,503.2143693328534
Quadratic,annual_full_data,2053,506.4581098835727
Quadratic,annual_full_data,2054,509.7279257055306
Quadratic,annual_full_data,2055,513.023816798727
Quadratic,annual_full_data,2056,516.345783163162
Quadratic,annual_full_data,2057,519.6938247988355
Quadratic,annual_full_data,2058,523.0679417057476
Quadratic,annual_full_data,2059,526.4681338838982
Quadratic,annual_full_data,2060,529.8944013332873
Quadratic,annual_full_data,2061,533.346744053915
Quadratic,annual_full_data,2062,536.8251620457811
Quadratic,annual_full_data,2063,540.329655308886
Quadratic,annual_full_data,2064,543.8602238432293
Quadratic,annual_full_data,2065,547.4168676488111
Quadratic,annual_full_data,2066,550.9995867256316
Quadratic,annual_full_data,2067,554.6083810736906
Quadratic,annual_full_data,2068,558.243250692988
Quadratic,annual_full_data,2069,561.904195583524
Quadratic,annual_full_data,2070,565.5912157452987
Quadratic,annual_full_data,2071,569.3043111783118
Quadratic,annual_full_data,2072,573.0434818825635
Quadratic,annual_full_data,2073,576.8087278580537
Quadratic,annual_full_data,2074,580.6000491047824
Quadratic,annual_full_data,2075,584.4174456227497
Quadratic,annual_full_data,2076,588.2609174119556
Quadratic,annual_full_data,2077,592.1304644724
Quadratic,annual_full_data,2078,596.026086804083
Quadratic,annual_full_data,2079,599.9477844070045
Quadratic,annual_full_data,2080,603.8955572811644
Quadratic,annual_full_data,2081,607.869405426563
Quadratic,annual_full_data,2082,611.8693288432002
Quadratic,annual_full_data,2083,615.8953275310758
Quadratic,annual_full_data,2084,619.94740149019
Quadratic,annual_full_data,2085,624.0255507205427
Quadratic,annual_full_data,2086,628.1297752221342
Quadratic,annual_full_data,2087,632.2600749949639
Quadratic,annual_full_data,2088,636.4164500390323
Quadratic,annual_full_data,2089,640.5989003543393
Quadratic,annual_full_data,2090,644.8074259408847
Quadratic,annual_full_data,2091,649.0420267986688
Quadratic,annual_full_data,2092,653.3027029276914
Quadratic,annual_full_data,2093,657.5894543279525
Quadratic,annual_full_data,2094,661.9022809994522
Quadratic,annual_full_data,2095,666.2411829421903
