Sigma,Simulation,Model,Model_Key,Model_Family,RMSE,MAE,MAPE,R2,Perturbation_Std_ppm,Test_Comparison_Target,Status,Rank_By_RMSE,Is_Best_By_RMSE
0.5,5,Quadratic,quadratic,annual_fit,1.6671877826380155,1.4161900873484625,0.3458279667671679,0.9464911123447315,0.5,original_true_test_data,,2.0,False
0.5,5,Cubic,cubic,annual_fit,2.766011183093175,2.4557066988416922,0.6006076078799683,0.8527128874999124,0.5,original_true_test_data,,3.0,False
0.5,5,Quartic,quartic,annual_fit,3.1181157873272345,2.67217656474038,0.6529507670887615,0.8128277930837027,0.5,original_true_test_data,,4.0,False
0.5,5,Exponential,exponential,annual_fit,8.468025983432046,8.124439964268486,1.9948006346946106,-0.3804518042240326,0.5,original_true_test_data,,5.0,False
0.5,5,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,0.8808611139943768,0.7245136024367127,0.17689717867669408,0.9850627117647258,0.5,original_true_test_data,ok,1.0,True
0.5,22,Quadratic,quadratic,annual_fit,1.1142533675293074,0.8901725046419073,0.21708802183308604,0.9760985199044588,0.5,original_true_test_data,,2.0,False
0.5,22,Cubic,cubic,annual_fit,2.2373131466189724,1.9004045235996727,0.46396416117813427,0.9036369729593967,0.5,original_true_test_data,,3.0,False
0.5,22,Quartic,quartic,annual_fit,4.278465610837478,3.7845955618341294,0.9257865609971004,0.6476023724066107,0.5,original_true_test_data,,4.0,False
0.5,22,Exponential,exponential,annual_fit,8.315929378817678,7.969153172390611,1.9565228739063154,-0.33130777962988156,0.5,original_true_test_data,,5.0,False
0.5,22,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.0985823379361224,0.8966816332282008,0.2187952124267542,0.9767661003176134,0.5,original_true_test_data,ok,1.0,True
0.5,19,Quadratic,quadratic,annual_fit,1.8481724311939516,1.6068264573090345,0.39272595878399363,0.9342430198680172,0.5,original_true_test_data,,1.0,True
0.5,19,Cubic,cubic,annual_fit,3.2023905993855992,2.881265710360424,0.7050838104262852,0.8025734804995912,0.5,original_true_test_data,,4.0,False
0.5,19,Quartic,quartic,annual_fit,2.333566974072037,1.9272983052401742,0.4704140282508545,0.8951671423664087,0.5,original_true_test_data,,3.0,False
0.5,19,Exponential,exponential,annual_fit,8.561728904835238,8.2182969080306,2.017909136685888,-0.4111716062938353,0.5,original_true_test_data,,5.0,False
0.5,19,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,2.2684153678910115,2.037126960311059,0.49854334539201334,0.90093915083437,0.5,original_true_test_data,ok,2.0,False
0.5,1,Quadratic,quadratic,annual_fit,1.8067586876781987,1.562934653250153,0.3819236295378281,0.9371569596386233,0.5,original_true_test_data,,2.0,False
0.5,1,Cubic,cubic,annual_fit,2.263553152315893,1.995328065304119,0.48790080885812853,0.9013633579797091,0.5,original_true_test_data,,3.0,False
