Model,Model_Key,Fit_Stage,Year,Forecast_Temperature_Change_From_1951_1980_C
Quartic time trend,quartic_time,full_data,2022,1.042624996852263
Quartic time trend,quartic_time,full_data,2023,1.0877455021181945
Quartic time trend,quartic_time,full_data,2024,1.13609461048383
Quartic time trend,quartic_time,full_data,2025,1.1878998219177517
Quartic time trend,quartic_time,full_data,2026,1.2433959210217784
Quartic time trend,quartic_time,full_data,2027,1.302824977030958
Quartic time trend,quartic_time,full_data,2028,1.3664363438135647
Quartic time trend,quartic_time,full_data,2029,1.4344866598711115
Quartic time trend,quartic_time,full_data,2030,1.5072398483383358
Quartic time trend,quartic_time,full_data,2031,1.584967116983209
Quartic time trend,quartic_time,full_data,2032,1.6679469582069353
Quartic time trend,quartic_time,full_data,2033,1.7564651490439451
Quartic time trend,quartic_time,full_data,2034,1.8508147511619046
Quartic time trend,quartic_time,full_data,2035,1.9512961108617088
Quartic time trend,quartic_time,full_data,2036,2.058216859077484
Quartic time trend,quartic_time,full_data,2037,2.1718919113765844
Quartic time trend,quartic_time,full_data,2038,2.292643467959604
Quartic time trend,quartic_time,full_data,2039,2.4208010136603564
Quartic time trend,quartic_time,full_data,2040,2.5567013179458966
Quartic time trend,quartic_time,full_data,2041,2.700688434916504
Quartic time trend,quartic_time,full_data,2042,2.8531137033056893
Quartic time trend,quartic_time,full_data,2043,3.0143357464801968
Quartic time trend,quartic_time,full_data,2044,3.184720472440001
Quartic time trend,quartic_time,full_data,2045,3.3646410738183103
Quartic time trend,quartic_time,full_data,2046,3.554478027881557
Quartic time trend,quartic_time,full_data,2047,3.7546190965294115
Quartic time trend,quartic_time,full_data,2048,3.9654593262947704
Quartic time trend,quartic_time,full_data,2049,4.1874010483437605
Quartic time trend,quartic_time,full_data,2050,4.420853878475747
Quartic time trend,quartic_time,full_data,2051,4.666234717123323
Quartic time trend,quartic_time,full_data,2052,4.923967749352304
Quartic time trend,quartic_time,full_data,2053,5.194484444861751
Quartic time trend,quartic_time,full_data,2054,5.478223557983943
Quartic time trend,quartic_time,full_data,2055,5.775631127684395
Quartic time trend,quartic_time,full_data,2056,6.087160477561861
Quartic time trend,quartic_time,full_data,2057,6.413272215848316
Quartic time trend,quartic_time,full_data,2058,6.754434235408963
Quartic time trend,quartic_time,full_data,2059,7.111121713742242
Quartic time trend,quartic_time,full_data,2060,7.483817112979834
Quartic time trend,quartic_time,full_data,2061,7.87301017988663
Quartic time trend,quartic_time,full_data,2062,8.27919794586077
Quartic time trend,quartic_time,full_data,2063,8.702884726933611
Quartic time trend,quartic_time,full_data,2064,9.144582123769755
Quartic time trend,quartic_time,full_data,2065,9.604809021667021
Quartic time trend,quartic_time,full_data,2066,10.084091590556472
Quartic time trend,quartic_time,full_data,2067,10.58296328500239
Quartic time trend,quartic_time,full_data,2068,11.1019648442023
Quartic time trend,quartic_time,full_data,2069,11.641644291986935
Quartic time trend,quartic_time,full_data,2070,12.2025569368203
Quartic time trend,quartic_time,full_data,2071,12.785265371799602
Quartic time trend,quartic_time,full_data,2072,13.390339474655274
Quartic time trend,quartic_time,full_data,2073,14.018356407750993
Quartic time trend,quartic_time,full_data,2074,14.669900618083668
Quartic time trend,quartic_time,full_data,2075,15.345563837283429
Quartic time trend,quartic_time,full_data,2076,16.04594508161365
Quartic time trend,quartic_time,full_data,2077,16.771650651970923
Quartic time trend,quartic_time,full_data,2078,17.523294133885084
Quartic time trend,quartic_time,full_data,2079,18.301496397519184
Quartic time trend,quartic_time,full_data,2080,19.10688559766952
Quartic time trend,quartic_time,full_data,2081,19.940097173765604
Quartic time trend,quartic_time,full_data,2082,20.80177384987021
Quartic time trend,quartic_time,full_data,2083,21.692565634679305
Quartic time trend,quartic_time,full_data,2084,22.613129821522122
Quartic time trend,quartic_time,full_data,2085,23.564130988361082
Quartic time trend,quartic_time,full_data,2086,24.54624099779188
Quartic time trend,quartic_time,full_data,2087,25.560138997043424
Quartic time trend,quartic_time,full_data,2088,26.606511417977845
Quartic time trend,quartic_time,full_data,2089,27.686051977090514
Quartic time trend,quartic_time,full_data,2090,28.799461675510038
Quartic time trend,quartic_time,full_data,2091,29.94744879899825
Quartic time trend,quartic_time,full_data,2092,31.13072891795019
Quartic time trend,quartic_time,full_data,2093,32.35002488739419
Quartic time trend,quartic_time,full_data,2094,33.60606684699176
Quartic time trend,quartic_time,full_data,2095,34.89959222103765
Quartic time trend,quartic_time,full_data,2096,36.23134571845985
Quartic time trend,quartic_time,full_data,2097,37.60207933281959
Quartic time trend,quartic_time,full_data,2098,39.01255234231131
Quartic time trend,quartic_time,full_data,2099,40.46353130976268
Quartic time trend,quartic_time,full_data,2100,41.95579008263462
Quartic time trend,quartic_time,full_data,2101,43.49010979302129
Quartic time trend,quartic_time,full_data,2102,45.06727885765003
Quartic time trend,quartic_time,full_data,2103,46.688092977881475
Quartic time trend,quartic_time,full_data,2104,48.35335513970942
Quartic time trend,quartic_time,full_data,2105,50.063875613760985
Quartic time trend,quartic_time,full_data,2106,51.82047195529645
Quartic time trend,quartic_time,full_data,2107,53.62396900420932
Quartic time trend,quartic_time,full_data,2108,55.475198885026394
Quartic time trend,quartic_time,full_data,2109,57.375001006907624
Quartic time trend,quartic_time,full_data,2110,59.324222063646246
Quartic time trend,quartic_time,full_data,2111,61.323716033668724
Quartic time trend,quartic_time,full_data,2112,63.37434418003472
Quartic time trend,quartic_time,full_data,2113,65.47697505043718
Quartic time trend,quartic_time,full_data,2114,67.63248447720221
Quartic time trend,quartic_time,full_data,2115,69.8417555772892
Quartic time trend,quartic_time,full_data,2116,72.10567875229077
Quartic time trend,quartic_time,full_data,2117,74.42515168843276
Quartic time trend,quartic_time,full_data,2118,76.80107935657423
Quartic time trend,quartic_time,full_data,2119,79.23437401220751
Quartic time trend,quartic_time,full_data,2120,81.7259551954581
Quartic time trend,quartic_time,full_data,2121,84.27674973108475
Quartic time trend,quartic_time,full_data,2122,86.8876917284795
Quartic time trend,quartic_time,full_data,2123,89.55972258166753
Quartic time trend,quartic_time,full_data,2124,92.29379096930732
