Model,Model_Key,Fit_Stage,Year,Observed_Temperature_Change_From_1951_1980_C,Fitted_Temperature_Change_From_1951_1980_C,Residual_C,Absolute_Residual_C
Shifted exponential time trend,shifted_exp_time,full_data,1958,0.06,-0.07040465275244082,0.13040465275244081,0.13040465275244081
Shifted exponential time trend,shifted_exp_time,full_data,1959,0.03,-0.06383333492350043,0.09383333492350043,0.09383333492350043
Shifted exponential time trend,shifted_exp_time,full_data,1960,-0.03,-0.05707393742079217,0.02707393742079217,0.02707393742079217
Shifted exponential time trend,shifted_exp_time,full_data,1961,0.06,-0.050121077159125865,0.11012107715912586,0.11012107715912586
Shifted exponential time trend,shifted_exp_time,full_data,1962,0.03,-0.04296921698240308,0.07296921698240308,0.07296921698240308
Shifted exponential time trend,shifted_exp_time,full_data,1963,0.05,-0.03561266125390716,0.08561266125390717,0.08561266125390717
Shifted exponential time trend,shifted_exp_time,full_data,1964,-0.2,-0.0280455513203815,-0.1719544486796185,0.1719544486796185
Shifted exponential time trend,shifted_exp_time,full_data,1965,-0.11,-0.020261860846283564,-0.08973813915371644,0.08973813915371644
Shifted exponential time trend,shifted_exp_time,full_data,1966,-0.06,-0.012255391014500128,-0.04774460898549987,0.04774460898549987
Shifted exponential time trend,shifted_exp_time,full_data,1967,-0.02,-0.0040197655896996864,-0.015980234410300314,0.015980234410300314
Shifted exponential time trend,shifted_exp_time,full_data,1968,-0.08,0.004451574159608007,-0.08445157415960801,0.08445157415960801
Shifted exponential time trend,shifted_exp_time,full_data,1969,0.05,0.013165374684349584,0.03683462531565042,0.03683462531565042
Shifted exponential time trend,shifted_exp_time,full_data,1970,0.03,0.02212857552766251,0.00787142447233749,0.00787142447233749
Shifted exponential time trend,shifted_exp_time,full_data,1971,-0.08,0.031348314851446235,-0.11134831485144624,0.11134831485144624
Shifted exponential time trend,shifted_exp_time,full_data,1972,0.01,0.040831935121089125,-0.030831935121089123,0.030831935121089123
Shifted exponential time trend,shifted_exp_time,full_data,1973,0.16,0.05058698895290098,0.10941301104709902,0.10941301104709902
Shifted exponential time trend,shifted_exp_time,full_data,1974,-0.07,0.06062124512890549,-0.1306212451289055,0.1306212451289055
Shifted exponential time trend,shifted_exp_time,full_data,1975,-0.01,0.0709426947837849,-0.0809426947837849,0.0809426947837849
Shifted exponential time trend,shifted_exp_time,full_data,1976,-0.1,0.08155955776890267,-0.18155955776890267,0.18155955776890267
Shifted exponential time trend,shifted_exp_time,full_data,1977,0.18,0.09248028919847245,0.08751971080152754,0.08751971080152754
Shifted exponential time trend,shifted_exp_time,full_data,1978,0.07,0.10371358618308718,-0.033713586183087174,0.033713586183087174
Shifted exponential time trend,shifted_exp_time,full_data,1979,0.16,0.11526839475597123,0.04473160524402878,0.04473160524402878
Shifted exponential time trend,shifted_exp_time,full_data,1980,0.26,0.12715391699746942,0.1328460830025306,0.1328460830025306
Shifted exponential time trend,shifted_exp_time,full_data,1981,0.32,0.13937961836344964,0.18062038163655036,0.18062038163655036
Shifted exponential time trend,shifted_exp_time,full_data,1982,0.14,0.151955235223453,-0.011955235223452987,0.011955235223452987
Shifted exponential time trend,shifted_exp_time,full_data,1983,0.31,0.16489078261459633,0.14510921738540367,0.14510921738540367
Shifted exponential time trend,shifted_exp_time,full_data,1984,0.16,0.17819656221740066,-0.018196562217400652,0.018196562217400652
Shifted exponential time trend,shifted_exp_time,full_data,1985,0.12,0.19188317055989879,-0.07188317055989879,0.07188317055989879
Shifted exponential time trend,shifted_exp_time,full_data,1986,0.18,0.2059615074565554,-0.0259615074565554,0.0259615074565554
Shifted exponential time trend,shifted_exp_time,full_data,1987,0.32,0.22044278468871914,0.09955721531128087,0.09955721531128087
Shifted exponential time trend,shifted_exp_time,full_data,1988,0.39,0.23533853493352164,0.15466146506647838,0.15466146506647838
Shifted exponential time trend,shifted_exp_time,full_data,1989,0.27,0.2506606209483324,0.019339379051667605,0.019339379051667605
Shifted exponential time trend,shifted_exp_time,full_data,1990,0.45,0.2664212450180854,0.18357875498191462,0.18357875498191462
Shifted exponential time trend,shifted_exp_time,full_data,1991,0.4,0.2826329586729992,0.11736704132700082,0.11736704132700082
Shifted exponential time trend,shifted_exp_time,full_data,1992,0.22,0.2993086726844332,-0.07930867268443317,0.07930867268443317
Shifted exponential time trend,shifted_exp_time,full_data,1993,0.23,0.31646166734683545,-0.08646166734683544,0.08646166734683544
Shifted exponential time trend,shifted_exp_time,full_data,1994,0.32,0.3341056030539762,-0.014105603053976179,0.014105603053976179
Shifted exponential time trend,shifted_exp_time,full_data,1995,0.45,0.35225453117788375,0.09774546882211627,0.09774546882211627
Shifted exponential time trend,shifted_exp_time,full_data,1996,0.33,0.3709229052591533,-0.040922905259153264,0.040922905259153264
Shifted exponential time trend,shifted_exp_time,full_data,1997,0.46,0.39012559251753287,0.06987440748246715,0.06987440748246715
Shifted exponential time trend,shifted_exp_time,full_data,1998,0.61,0.40987788569196115,0.20012211430803883,0.20012211430803883
Shifted exponential time trend,shifted_exp_time,full_data,1999,0.38,0.43019551521948063,-0.050195515219480624,0.050195515219480624
Shifted exponential time trend,shifted_exp_time,full_data,2000,0.39,0.45109466176272617,-0.061094661762726155,0.061094661762726155
Shifted exponential time trend,shifted_exp_time,full_data,2001,0.53,0.4725919690959688,0.05740803090403124,0.05740803090403124
Shifted exponential time trend,shifted_exp_time,full_data,2002,0.63,0.49470455735997365,0.13529544264002635,0.13529544264002635
Shifted exponential time trend,shifted_exp_time,full_data,2003,0.62,0.517450036696229,0.10254996330377097,0.10254996330377097
Shifted exponential time trend,shifted_exp_time,full_data,2004,0.53,0.540846521271406,-0.010846521271405951,0.010846521271405951
Shifted exponential time trend,shifted_exp_time,full_data,2005,0.67,0.5649126437032141,0.1050873562967859,0.1050873562967859
Shifted exponential time trend,shifted_exp_time,full_data,2006,0.63,0.5896675698991468,0.04033243010085319,0.04033243010085319
