Model,Model_Key,Fit_Stage,Year,Forecast_Temperature_Change_From_1951_1980_C
Shifted exponential time trend,shifted_exp_time,full_data,2022,1.097384705979701
Shifted exponential time trend,shifted_exp_time,full_data,2023,1.137379676010134
Shifted exponential time trend,shifted_exp_time,full_data,2024,1.1785193541663184
Shifted exponential time trend,shifted_exp_time,full_data,2025,1.2208365034855095
Shifted exponential time trend,shifted_exp_time,full_data,2026,1.2643648247257557
Shifted exponential time trend,shifted_exp_time,full_data,2027,1.3091389832046876
Shifted exponential time trend,shifted_exp_time,full_data,2028,1.3551946364064678
Shifted exponential time trend,shifted_exp_time,full_data,2029,1.4025684623788928
Shifted exponential time trend,shifted_exp_time,full_data,2030,1.451298188943249
Shifted exponential time trend,shifted_exp_time,full_data,2031,1.5014226237402004
Shifted exponential time trend,shifted_exp_time,full_data,2032,1.552981685135624
Shifted exponential time trend,shifted_exp_time,full_data,2033,1.6060164340110112
Shifted exponential time trend,shifted_exp_time,full_data,2034,1.6605691064637549
Shifted exponential time trend,shifted_exp_time,full_data,2035,1.7166831474433548
Shifted exponential time trend,shifted_exp_time,full_data,2036,1.7744032453503429
Shifted exponential time trend,shifted_exp_time,full_data,2037,1.8337753676254704
Shifted exponential time trend,shifted_exp_time,full_data,2038,1.8948467973575032
Shifted exponential time trend,shifted_exp_time,full_data,2039,1.957666170938784
Shifted exponential time trend,shifted_exp_time,full_data,2040,2.0222835167985362
Shifted exponential time trend,shifted_exp_time,full_data,2041,2.0887502952447825
Shifted exponential time trend,shifted_exp_time,full_data,2042,2.157119439446573
Shifted exponential time trend,shifted_exp_time,full_data,2043,2.2274453975891886
Shifted exponential time trend,shifted_exp_time,full_data,2044,2.299784176235879
Shifted exponential time trend,shifted_exp_time,full_data,2045,2.374193384930668
Shifted exponential time trend,shifted_exp_time,full_data,2046,2.450732282077748
Shifted exponential time trend,shifted_exp_time,full_data,2047,2.5294618221340155
Shifted exponential time trend,shifted_exp_time,full_data,2048,2.610444704152296
Shifted exponential time trend,shifted_exp_time,full_data,2049,2.6937454217139596
Shifted exponential time trend,shifted_exp_time,full_data,2050,2.7794303142906625
Shifted exponential time trend,shifted_exp_time,full_data,2051,2.8675676200761258
Shifted exponential time trend,shifted_exp_time,full_data,2052,2.958227530330041
Shifted exponential time trend,shifted_exp_time,full_data,2053,3.051482245277361
Shifted exponential time trend,shifted_exp_time,full_data,2054,3.147406031607497
Shifted exponential time trend,shifted_exp_time,full_data,2055,3.246075281619224
Shifted exponential time trend,shifted_exp_time,full_data,2056,3.3475685740583945
Shifted exponential time trend,shifted_exp_time,full_data,2057,3.45196673669689
