Model,Model_Key,Fit_Stage,Target_Temperature_Change_From_1951_1980_C,First_Year_Predicted_Change_At_Least_Target,Forecast_Change_At_First_Year_C
Quadratic time trend,quadratic_time,full_data,1.25,2031,1.2704503621378622
Quadratic time trend,quadratic_time,full_data,1.5,2039,1.5290402722277723
Quadratic time trend,quadratic_time,full_data,2.0,2053,2.035258512321013
Quadratic time trend,quadratic_time,training_data,1.25,2030,1.2585086590558283
Quadratic time trend,quadratic_time,training_data,1.5,2038,1.520968136685117
Quadratic time trend,quadratic_time,training_data,2.0,2052,2.036258353805523
Quartic time trend,quartic_time,full_data,1.25,2027,1.302824977030958
Quartic time trend,quartic_time,full_data,1.5,2030,1.5072398483383358
Quartic time trend,quartic_time,full_data,2.0,2036,2.058216859077484
Quartic time trend,quartic_time,training_data,1.25,2026,1.297833702251092
Quartic time trend,quartic_time,training_data,1.5,2029,1.522563241226338
Quartic time trend,quartic_time,training_data,2.0,2034,2.019100811061256
Shifted exponential time trend,shifted_exp_time,full_data,1.25,2026,1.2643648247257557
Shifted exponential time trend,shifted_exp_time,full_data,1.5,2031,1.5014226237402004
Shifted exponential time trend,shifted_exp_time,full_data,2.0,2040,2.0222835167985362
Shifted exponential time trend,shifted_exp_time,training_data,1.25,2024,1.250845438526243
Shifted exponential time trend,shifted_exp_time,training_data,1.5,2030,1.5481843267668052
Shifted exponential time trend,shifted_exp_time,training_data,2.0,2038,2.0351474256892246
