Year,Temperature_Change_From_1951_1980_C,Reference_Year_For_Future_Additional_Change,Reference_Temperature_Change_From_1951_1980_C
1958,0.06,2021,0.84
1959,0.03,2021,0.84
1960,-0.03,2021,0.84
1961,0.06,2021,0.84
1962,0.03,2021,0.84
1963,0.05,2021,0.84
1964,-0.2,2021,0.84
1965,-0.11,2021,0.84
1966,-0.06,2021,0.84
1967,-0.02,2021,0.84
1968,-0.08,2021,0.84
1969,0.05,2021,0.84
1970,0.03,2021,0.84
1971,-0.08,2021,0.84
1972,0.01,2021,0.84
1973,0.16,2021,0.84
1974,-0.07,2021,0.84
1975,-0.01,2021,0.84
1976,-0.1,2021,0.84
1977,0.18,2021,0.84
1978,0.07,2021,0.84
1979,0.16,2021,0.84
1980,0.26,2021,0.84
1981,0.32,2021,0.84
1982,0.14,2021,0.84
1983,0.31,2021,0.84
1984,0.16,2021,0.84
1985,0.12,2021,0.84
1986,0.18,2021,0.84
1987,0.32,2021,0.84
1988,0.39,2021,0.84
1989,0.27,2021,0.84
1990,0.45,2021,0.84
1991,0.4,2021,0.84
1992,0.22,2021,0.84
1993,0.23,2021,0.84
1994,0.32,2021,0.84
1995,0.45,2021,0.84
1996,0.33,2021,0.84
1997,0.46,2021,0.84
1998,0.61,2021,0.84
1999,0.38,2021,0.84
2000,0.39,2021,0.84
2001,0.53,2021,0.84
2002,0.63,2021,0.84
2003,0.62,2021,0.84
2004,0.53,2021,0.84
2005,0.67,2021,0.84
2006,0.63,2021,0.84
2007,0.66,2021,0.84
2008,0.54,2021,0.84
2009,0.65,2021,0.84
2010,0.72,2021,0.84
2011,0.61,2021,0.84
2012,0.65,2021,0.84
2013,0.67,2021,0.84
2014,0.74,2021,0.84
2015,0.89,2021,0.84
2016,1.01,2021,0.84
2017,0.92,2021,0.84
2018,0.84,2021,0.84
2019,0.97,2021,0.84
2020,1.02,2021,0.84
2021,0.84,2021,0.84
