Model,Model_Key,Fit_Stage,Year,CO2_ppm,Observed_Temperature_Change_From_1951_1980_C,Fitted_Temperature_Change_From_1951_1980_C,Residual_C,Absolute_Residual_C
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1959,315.98,0.03,-0.10057321946622161,0.1305732194662216,0.1305732194662216
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1960,316.91,-0.03,-0.08947557545057,0.05947557545057,0.05947557545057
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1961,317.64,0.06,-0.08078731231953812,0.14078731231953812,0.14078731231953812
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1962,318.45,0.03,-0.07117024961548618,0.10117024961548618,0.10117024961548618
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1963,318.99,0.05,-0.06477245471480136,0.11477245471480137,0.11477245471480137
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1964,319.62,-0.2,-0.057322035026614815,-0.1426779649733852,0.1426779649733852
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1965,320.04,-0.11,-0.05236324269180559,-0.05763675730819441,0.05763675730819441
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1966,321.37,-0.06,-0.036703223175569066,-0.02329677682443093,0.02329677682443093
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1967,322.18,-0.02,-0.02719764110858769,0.007197641108587689,0.007197641108587689
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1968,323.05,-0.08,-0.01701452428332839,-0.06298547571667161,0.06298547571667161
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1969,324.62,0.05,0.0012926992414624694,0.04870730075853753,0.04870730075853753
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1970,325.68,0.03,0.013602988506451252,0.016397011493548747,0.016397011493548747
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1971,326.32,-0.08,0.021016232252417555,-0.10101623225241756,0.10101623225241756
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1972,327.46,0.01,0.034185129918471,-0.024185129918471,0.024185129918471
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1973,329.68,0.16,0.05969877356289632,0.10030122643710368,0.10030122643710368
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1974,330.19,-0.07,0.06553574597204281,-0.13553574597204282,0.13553574597204282
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1975,331.13,-0.01,0.07627050379446965,-0.08627050379446964,0.08627050379446964
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1976,332.03,-0.1,0.08651994563281562,-0.18651994563281563,0.18651994563281563
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1977,333.84,0.18,0.10704885880982296,0.07295114119017704,0.07295114119017704
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1978,335.41,0.07,0.1247657627869474,-0.05476576278694739,0.05476576278694739
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1979,336.84,0.16,0.14083079659185682,0.01916920340814318,0.01916920340814318
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1980,338.76,0.26,0.16229370237540763,0.09770629762459238,0.09770629762459238
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1981,340.12,0.32,0.17742312090475432,0.1425768790952457,0.1425768790952457
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1982,341.48,0.14,0.19249216365968325,-0.05249216365968323,0.05249216365968323
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1983,343.15,0.31,0.2109141802444191,0.0990858197555809,0.0990858197555809
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1984,344.87,0.16,0.22979426983855167,-0.06979426983855166,0.06979426983855166
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1985,346.35,0.12,0.24596471014538945,-0.12596471014538946,0.12596471014538946
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1986,347.61,0.18,0.2596770745524757,-0.07967707455247569,0.07967707455247569
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1987,349.31,0.32,0.2780993222331689,0.041900677766831096,0.041900677766831096
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1988,351.69,0.39,0.303740405555181,0.08625959444481901,0.08625959444481901
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1989,353.2,0.27,0.3199186735136119,-0.0499186735136119,0.0499186735136119
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1990,354.45,0.45,0.3332590386225277,0.11674096137747231,0.11674096137747231
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1991,355.7,0.4,0.3465524404394892,0.05344755956051084,0.05344755956051084
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1992,356.54,0.22,0.3554593878721104,-0.1354593878721104,0.1354593878721104
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1993,357.21,0.23,0.3625487077256109,-0.13254870772561086,0.13254870772561086
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1994,358.96,0.32,0.3810030491194587,-0.0610030491194587,0.0610030491194587
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1995,360.97,0.45,0.4020884895373952,0.047911510462604834,0.047911510462604834
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1996,362.74,0.33,0.4205592731619172,-0.0905592731619172,0.0905592731619172
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1997,363.88,0.46,0.43240805279137384,0.027591947208626177,0.027591947208626177
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1998,366.84,0.61,0.4630008265071107,0.14699917349288927,0.14699917349288927
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,1999,368.54,0.38,0.4804595964759716,-0.10045959647597158,0.10045959647597158
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2000,369.71,0.39,0.49242861479951905,-0.10242861479951904,0.10242861479951904
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2001,371.32,0.53,0.5088370260020757,0.021162973997924328,0.021162973997924328
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2002,373.45,0.63,0.5304360623390808,0.0995639376609192,0.0995639376609192
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2003,375.98,0.62,0.5559317575706505,0.0640682424293495,0.0640682424293495
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2004,377.7,0.53,0.5731670228462428,-0.04316702284624274,0.04316702284624274
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2005,379.98,0.67,0.5958931847549706,0.07410681524502949,0.07410681524502949
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2006,382.09,0.63,0.6168036868902941,0.013196313109705926,0.013196313109705926
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2007,384.02,0.66,0.6358294838926751,0.024170516107324902,0.024170516107324902
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2008,385.83,0.54,0.6535856428024148,-0.11358564280241479,0.11358564280241479
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2009,387.64,0.65,0.671258698902136,-0.021258698902135942,0.021258698902135942
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2010,390.1,0.72,0.6951465939227525,0.02485340607724751,0.02485340607724751
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2011,391.85,0.61,0.7120484948581861,-0.10204849485818612,0.10204849485818612
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2012,394.06,0.65,0.7332856512745097,-0.08328565127450971,0.08328565127450971
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2013,396.74,0.67,0.7588800869393567,-0.08888008693935667,0.08888008693935667
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2014,398.81,0.74,0.7785308585267509,-0.038530858526750866,0.038530858526750866
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2015,401.01,0.89,0.799304243928253,0.09069575607174696,0.09069575607174696
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2016,404.41,1.01,0.831185457837239,0.17881454216276105,0.17881454216276105
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2017,406.76,0.92,0.8530647344468117,0.0669352655531883,0.0669352655531883
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2018,408.72,0.84,0.8712165201424024,-0.031216520142402393,0.031216520142402393
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2019,411.66,0.97,0.8982816358171136,0.07171836418288635,0.07171836418288635
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2020,414.24,1.02,0.9218738886976875,0.09812611130231252,0.09812611130231252
Radiative forcing proxy log2(CO2/280),log2_co2_280,full_data,2021,416.45,0.84,0.9419662083161612,-0.10196620831616121,0.10196620831616121
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1959,315.98,0.03,-0.0912761278530475,0.1212761278530475,0.1212761278530475
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1960,316.91,-0.03,-0.08055989148393311,0.05055989148393311,0.05055989148393311
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1961,317.64,0.06,-0.07217022956849523,0.13217022956849522,0.13217022956849522
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1962,318.45,0.03,-0.06288368938322114,0.09288368938322114,0.09288368938322114
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1963,318.99,0.05,-0.05670577609818883,0.10670577609818883,0.10670577609818883
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1964,319.62,-0.2,-0.04951141499639933,-0.15048858500360068,0.15048858500360068
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1965,320.04,-0.11,-0.044723048142117305,-0.0652769518578827,0.0652769518578827
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1966,321.37,-0.06,-0.029601237562839833,-0.030398762437160165,0.030398762437160165
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1967,322.18,-0.02,-0.020422346609758057,0.0004223466097580571,0.0004223466097580571
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1968,323.05,-0.08,-0.010589206646007154,-0.06941079335399285,0.06941079335399285
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1969,324.62,0.05,0.007088827923959373,0.04291117207604063,0.04291117207604063
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1970,325.68,0.03,0.018976032933395337,0.011023967066604662,0.011023967066604662
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1971,326.32,-0.08,0.026134495768533328,-0.10613449576853333,0.10613449576853333
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1972,327.46,0.01,0.03885080023019005,-0.02885080023019005,0.02885080023019005
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1973,329.68,0.16,0.06348758219448891,0.09651241780551109,0.09651241780551109
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1974,330.19,-0.07,0.06912394752826567,-0.13912394752826568,0.13912394752826568
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1975,331.13,-0.01,0.07948976950165787,-0.08948976950165786,0.08948976950165786
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1976,332.03,-0.1,0.08938695499763327,-0.18938695499763328,0.18938695499763328
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1977,333.84,0.18,0.10921032342570425,0.07078967657429575,0.07078967657429575
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1978,335.41,0.07,0.1263183267532575,-0.056318326753257486,0.056318326753257486
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1979,336.84,0.16,0.14183123195083103,0.018168768049168976,0.018168768049168976
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1980,338.76,0.26,0.16255649320629917,0.09744350679370084,0.09744350679370084
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1981,340.12,0.32,0.17716593867590302,0.14283406132409698,0.14283406132409698
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1982,341.48,0.14,0.19171708338647053,-0.05171708338647052,0.05171708338647052
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1983,343.15,0.31,0.20950596576901503,0.10049403423098496,0.10049403423098496
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1984,344.87,0.16,0.2277371779502162,-0.06773717795021619,0.06773717795021619
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1985,346.35,0.12,0.24335186700280553,-0.12335186700280554,0.12335186700280554
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1986,347.61,0.18,0.2565929601536151,-0.07659296015361511,0.07659296015361511
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1987,349.31,0.32,0.27438206568973167,0.04561793431026834,0.04561793431026834
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1988,351.69,0.39,0.2991419074409455,0.09085809255905453,0.09085809255905453
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1989,353.2,0.27,0.31476415512170564,-0.04476415512170562,0.04476415512170562
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1990,354.45,0.45,0.32764603397417247,0.12235396602582754,0.12235396602582754
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1991,355.7,0.4,0.34048256358525586,0.05951743641474416,0.05951743641474416
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1992,356.54,0.22,0.3490833939849902,-0.12908339398499022,0.12908339398499022
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1993,357.21,0.23,0.3559290656554115,-0.12592906565541148,0.12592906565541148
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1994,358.96,0.32,0.3737491618969103,-0.053749161896910314,0.053749161896910314
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1995,360.97,0.45,0.394109930646278,0.05589006935372204,0.05589006935372204
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1996,362.74,0.33,0.4119459040262119,-0.08194590402621188,0.08194590402621188
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1997,363.88,0.46,0.42338746072200495,0.03661253927799507,0.03661253927799507
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1998,366.84,0.61,0.4529288114683703,0.1570711885316297,0.1570711885316297
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,1999,368.54,0.38,0.4697875524260403,-0.0897875524260403,0.0897875524260403
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2000,369.71,0.39,0.48134521541112985,-0.09134521541112983,0.09134521541112983
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2001,371.32,0.53,0.4971896966938444,0.03281030330615564,0.03281030330615564
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2002,373.45,0.63,0.5180464099210843,0.1119535900789157,0.1119535900789157
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2003,375.98,0.62,0.5426658603297537,0.07733413967024627,0.07733413967024627
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2004,377.7,0.53,0.5593087780803275,-0.029308778080327502,0.029308778080327502
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2005,379.98,0.67,0.5812538794399688,0.08874612056003128,0.08874612056003128
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2006,382.09,0.63,0.6014457222457897,0.028554277754210267,0.028554277754210267
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2007,384.02,0.66,0.6198176341129172,0.040182365887082794,0.040182365887082794
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2008,385.83,0.54,0.63696354324606,-0.09696354324605994,0.09696354324605994
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2009,387.64,0.65,0.6540292056751417,-0.004029205675141645,0.004029205675141645
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2010,390.1,0.72,0.677096113303507,0.04290388669649292,0.04290388669649292
Radiative forcing proxy log2(CO2/280),log2_co2_280,training_data,2011,391.85,0.61,0.6934171238942245,-0.08341712389422451,0.08341712389422451
Radiative forcing proxy log2(CO2/280),log2_co2_280,test_data,2012,394.06,0.65,0.7139243944143644,-0.06392439441436437,0.06392439441436437
Radiative forcing proxy log2(CO2/280),log2_co2_280,test_data,2013,396.74,0.67,0.7386391917111391,-0.06863919171113908,0.06863919171113908
Radiative forcing proxy log2(CO2/280),log2_co2_280,test_data,2014,398.81,0.74,0.757614598821783,-0.017614598821782956,0.017614598821782956
Radiative forcing proxy log2(CO2/280),log2_co2_280,test_data,2015,401.01,0.89,0.7776740373688519,0.11232596263114814,0.11232596263114814
