Model,Model_Key,Fit_Stage,Year,CO2_ppm,Observed_Temperature_Change_From_1951_1980_C,Fitted_Temperature_Change_From_1951_1980_C,Residual_C,Absolute_Residual_C
Quadratic centered CO2,quadratic_centered_co2,full_data,1959,315.98,0.03,-0.07846277289690679,0.10846277289690678,0.10846277289690678
Quadratic centered CO2,quadratic_centered_co2,full_data,1960,316.91,-0.03,-0.0689723138110464,0.038972313811046405,0.038972313811046405
Quadratic centered CO2,quadratic_centered_co2,full_data,1961,317.64,0.06,-0.0615192393369583,0.1215192393369583,0.1215192393369583
Quadratic centered CO2,quadratic_centered_co2,full_data,1962,318.45,0.03,-0.05324571024067387,0.08324571024067387,0.08324571024067387
Quadratic centered CO2,quadratic_centered_co2,full_data,1963,318.99,0.05,-0.047727873914387986,0.09772787391438799,0.09772787391438799
Quadratic centered CO2,quadratic_centered_co2,full_data,1964,319.62,-0.2,-0.04128822404649085,-0.15871177595350916,0.15871177595350916
Quadratic centered CO2,quadratic_centered_co2,full_data,1965,320.04,-0.11,-0.03699382335872342,-0.07300617664127658,0.07300617664127658
Quadratic centered CO2,quadratic_centered_co2,full_data,1966,321.37,-0.06,-0.0233880226416599,-0.0366119773583401,0.0366119773583401
Quadratic centered CO2,quadratic_centered_co2,full_data,1967,322.18,-0.02,-0.015096670261779133,-0.004903329738220868,0.004903329738220868
Quadratic centered CO2,quadratic_centered_co2,full_data,1968,323.05,-0.08,-0.006186832488766503,-0.0738131675112335,0.0738131675112335
Quadratic centered CO2,quadratic_centered_co2,full_data,1969,324.62,0.05,0.009903139621128765,0.04009686037887124,0.04009686037887124
Quadratic centered CO2,quadratic_centered_co2,full_data,1970,325.68,0.03,0.020774655801792108,0.009225344198207891,0.009225344198207891
Quadratic centered CO2,quadratic_centered_co2,full_data,1971,326.32,-0.08,0.02734179926986713,-0.10734179926986713,0.10734179926986713
Quadratic centered CO2,quadratic_centered_co2,full_data,1972,327.46,0.01,0.03904550891098407,-0.02904550891098407,0.02904550891098407
Quadratic centered CO2,quadratic_centered_co2,full_data,1973,329.68,0.16,0.061858945169403545,0.09814105483059646,0.09814105483059646
Quadratic centered CO2,quadratic_centered_co2,full_data,1974,330.19,-0.07,0.06710397645039551,-0.13710397645039551,0.13710397645039551
Quadratic centered CO2,quadratic_centered_co2,full_data,1975,331.13,-0.01,0.0767753093192286,-0.0867753093192286,0.0867753093192286
Quadratic centered CO2,quadratic_centered_co2,full_data,1976,332.03,-0.1,0.08603998065453272,-0.18603998065453273,0.18603998065453273
Quadratic centered CO2,quadratic_centered_co2,full_data,1977,333.84,0.18,0.10468673222558494,0.07531326777441505,0.07531326777441505
Quadratic centered CO2,quadratic_centered_co2,full_data,1978,335.41,0.07,0.12087663872501703,-0.05087663872501702,0.05087663872501702
Quadratic centered CO2,quadratic_centered_co2,full_data,1979,336.84,0.16,0.135635513100313,0.02436448689968701,0.02436448689968701
Quadratic centered CO2,quadratic_centered_co2,full_data,1980,338.76,0.26,0.15547059600947277,0.10452940399052724,0.10452940399052724
Quadratic centered CO2,quadratic_centered_co2,full_data,1981,340.12,0.32,0.1695336040017575,0.15046639599824252,0.15046639599824252
Quadratic centered CO2,quadratic_centered_co2,full_data,1982,341.48,0.14,0.1836075231731173,-0.04360752317311728,0.04360752317311728
Quadratic centered CO2,quadratic_centered_co2,full_data,1983,343.15,0.31,0.20090439333456322,0.10909560666543677,0.10909560666543677
Quadratic centered CO2,quadratic_centered_co2,full_data,1984,344.87,0.16,0.21873633241736742,-0.05873633241736742,0.05873633241736742
Quadratic centered CO2,quadratic_centered_co2,full_data,1985,346.35,0.12,0.23409406328334553,-0.11409406328334554,0.11409406328334554
Quadratic centered CO2,quadratic_centered_co2,full_data,1986,347.61,0.18,0.24717907142632994,-0.06717907142632995,0.06717907142632995
Quadratic centered CO2,quadratic_centered_co2,full_data,1987,349.31,0.32,0.2648482899049738,0.05515171009502623,0.05515171009502623
Quadratic centered CO2,quadratic_centered_co2,full_data,1988,351.69,0.39,0.2896138376201474,0.1003861623798526,0.1003861623798526
Quadratic centered CO2,quadratic_centered_co2,full_data,1989,353.2,0.27,0.30534375870449115,-0.035343758704491135,0.035343758704491135
Quadratic centered CO2,quadratic_centered_co2,full_data,1990,354.45,0.45,0.31837539269326076,0.13162460730673925,0.13162460730673925
Quadratic centered CO2,quadratic_centered_co2,full_data,1991,355.7,0.4,0.3314162441978743,0.06858375580212572,0.06858375580212572
Quadratic centered CO2,quadratic_centered_co2,full_data,1992,356.54,0.22,0.3401848747356359,-0.12018487473563591,0.12018487473563591
Quadratic centered CO2,quadratic_centered_co2,full_data,1993,357.21,0.23,0.3471818855895373,-0.11718188558953727,0.11718188558953727
Quadratic centered CO2,quadratic_centered_co2,full_data,1994,358.96,0.32,0.3654701517854092,-0.045470151785409196,0.045470151785409196
Quadratic centered CO2,quadratic_centered_co2,full_data,1995,360.97,0.45,0.38649782375137426,0.06350217624862575,0.06350217624862575
Quadratic centered CO2,quadratic_centered_co2,full_data,1996,362.74,0.33,0.4050344635431141,-0.0750344635431141,0.0750344635431141
Quadratic centered CO2,quadratic_centered_co2,full_data,1997,363.88,0.46,0.4169831013101957,0.043016898689804295,0.043016898689804295
Quadratic centered CO2,quadratic_centered_co2,full_data,1998,366.84,0.61,0.44804343086694143,0.16195656913305856,0.16195656913305856
Quadratic centered CO2,quadratic_centered_co2,full_data,1999,368.54,0.38,0.4659055004242758,-0.0859055004242758,0.0859055004242758
